,FSC-H,FSC-A,SSC-H,SSC-A,FITC-H,FITC-A,VSSC-H,VSSC-A,PE-H,PE-A,ECD-H,ECD-A,FSC-Width,Time
229,10.380693,9.727705,9.918731,9.812747,5.6330023,4.15104,10.599558,10.501073,6.2488165,4.5890408,6.2753267,5.853351,6.27868,7.96137
230,10.441217,9.91708,9.657811,9.627583,6.3101,5.0052876,10.405229,10.309166,6.221981,5.138149,5.4514675,3.122365,6.407392,7.96346
238,10.38946,9.978475,9.821865,9.778389,5.81592,5.006627,10.606511,10.493383,5.926926,5.433722,6.756816,6.2029405,6.520563,8.0047
241,10.662301,10.137021,10.275137,10.133702,5.5325985,3.0773122,10.730496,10.625608,6.3944263,5.6646953,5.7942324,3.6558397,6.406234,8.018954
244,10.671587,10.217371,10.468392,10.374862,5.7330174,5.1538696,11.108104,11.009811,6.102335,4.565389,5.485212,4.3013587,6.477264,8.025844
245,10.551465,10.209312,9.646981,9.553483,6.11058,5.1143947,10.055728,9.959178,6.491027,4.8441873,6.2544055,4.5757413,6.5893235,8.029758
246,10.806944,10.308516,10.179379,10.123418,6.107691,5.792709,10.795025,10.742102,6.488901,5.384036,5.9563556,0.8329091,6.433079,8.037543
250,10.46674,9.773054,9.676869,9.644439,5.6010113,3.7208624,10.434301,10.339937,6.4777412,4.7999144,6.509812,3.777348,6.2379827,8.053887
256,10.163195,9.5442095,9.598822,9.40436,5.907811,5.0676455,10.416451,10.183627,6.3578424,2.7212954,6.3644066,5.6091056,6.3125954,8.0864105
260,10.405429,9.713283,10.129587,10.092065,5.957132,5.2018065,10.801197,10.719016,5.8852706,5.1812215,6.007092,5.544787,6.239505,8.097426
261,10.204477,9.448869,9.889561,9.688455,5.870426,4.314818,10.550104,10.395384,6.132096,5.5278406,5.7639365,3.8155122,6.1761327,8.107118
264,10.690337,10.237446,9.820665,9.721504,5.572914,4.0943446,10.4773245,10.39215,5.697429,3.8897774,6.244361,5.0644917,6.4785857,8.1155205
267,10.715562,10.363425,9.939901,9.982687,5.5459585,4.4601445,10.8497095,10.795766,5.695414,4.8598123,6.1068,4.5900564,6.579397,8.12711
271,10.389288,10.096489,9.737368,9.661754,5.7844405,4.706824,10.264311,10.164751,6.206576,3.8565102,6.061457,4.804021,6.638814,8.151045
275,10.374066,9.39963,10.27121,10.270333,5.7544756,4.0842943,10.834575,10.778051,5.8368554,3.835142,5.5302224,3.69883,5.957077,8.172447
276,10.665983,10.453907,9.802042,9.843721,5.7391496,4.6366687,10.19225,10.131245,6.823939,5.6726356,6.2576675,3.8565102,6.719402,8.174139
286,10.538224,10.148459,9.3681555,9.3975,5.8836007,4.7774415,9.961851,9.874146,6.3809695,3.2884018,6.1136823,3.2148678,6.5417457,8.193953
289,10.762973,9.738406,10.306355,10.154514,6.1353483,5.218191,10.996262,10.863983,5.975335,3.9454577,6.1202974,4.899331,5.907022,8.201112
291,10.162079,10.004703,9.852894,9.708245,6.4575543,5.7525725,10.465204,10.333102,5.853064,4.8955984,6.257284,5.2791348,6.774295,8.203852
295,10.24477,9.297371,9.412326,9.330715,6.053265,5.5479083,8.632538,8.473951,6.033326,5.1509767,6.266821,5.665388,5.9842944,8.223359
298,10.217243,9.741838,9.821268,9.681112,5.4192066,4.643429,10.423801,10.292213,6.4540973,5.9245234,5.876054,3.962716,6.4561634,8.229244
302,10.0958,9.595881,9.81123,9.651025,6.1785665,5.467638,10.349144,10.211957,5.65284,-inf,5.848171,4.11578,6.431587,8.242494
314,9.742121,9.097059,9.819078,9.830519,5.698435,4.550714,10.512873,10.381958,6.45331,5.6312118,6.4342256,0.8754688,6.286622,8.2920475
317,10.909319,10.4522505,9.5995,9.472304,6.0748863,5.6729794,10.31846,10.215085,6.377067,5.2067504,5.909712,4.757891,6.4744487,8.294049
318,10.475156,9.693717,9.950476,9.833114,5.691035,5.620401,10.345349,10.229257,5.7598476,4.139955,6.5276656,5.82275,6.150019,8.2948
340,10.293132,9.651893,10.047648,9.904337,5.7930136,3.693867,10.775015,10.646493,6.064947,4.2091603,5.865051,3.1441524,6.2902255,8.368462
343,10.528284,9.976859,10.271313,10.165717,5.979645,4.286341,11.078239,10.9837675,5.949079,4.4091554,5.652138,4.643429,6.380161,8.371243
359,10.803888,10.4263115,10.039054,10.037096,6.0535,5.357529,10.654871,10.544984,6.2871146,5.415211,5.846728,4.356709,6.553966,8.408494
360,10.886498,10.56204,10.3888445,10.299219,5.6777806,4.4320064,10.910284,10.846718,6.245137,5.8930244,6.692332,4.060443,6.6070247,8.417151
368,10.765934,10.475817,10.001154,10.000215,6.2660613,5.383118,10.609968,10.509122,6.365267,6.1664677,6.3619933,4.832306,6.641409,8.445268
371,10.690252,10.269799,9.879748,9.902277,5.5935955,3.673766,10.519022,10.441956,6.383,5.4071717,5.985195,3.5115454,6.5111256,8.449343
377,10.518341,10.22644,9.47425,9.514482,5.3918076,0.9932518,10.112504,10.034858,6.462405,5.209486,6.0492616,5.4062743,6.6396713,8.457656
381,10.429032,10.089046,9.753978,9.695239,5.8321757,4.2195077,10.584016,10.485821,6.6997466,5.884436,5.7884297,1.9169227,6.591579,8.468213
383,10.540604,9.653827,10.180558,10.061371,5.17162,3.3672957,10.754536,10.583881,6.348439,4.9642425,6.2488165,5.1750193,6.0447917,8.470311
403,10.480138,10.025263,9.643693,9.579861,6.263398,5.679148,10.240613,10.158281,6.316262,5.457882,6.172744,4.4402957,6.4766335,8.516793
406,10.8025,10.719229,10.091584,10.141863,6.1249022,2.261763,10.961069,10.930541,5.93648,5.235378,5.989713,4.883559,6.848353,8.538759
412,10.031274,9.642908,9.533076,9.393262,5.66781,4.486387,10.2592125,10.160306,5.8573613,4.1604443,5.799093,4.1383615,6.5433726,8.553718
415,10.823487,10.322033,10.347128,10.3661175,5.395444,3.8394523,10.94392,10.8404255,5.420535,4.774069,6.0899515,4.933034,6.4300537,8.563886
422,10.831223,10.453269,9.732924,9.70628,6.3002353,5.5306187,10.518636,10.397595,6.214408,5.40762,6.0630875,5.115596,6.553653,8.583917
435,10.711781,10.338226,10.304349,10.158939,6.170865,5.6450934,10.887964,10.828696,6.471264,5.096201,6.2757034,5.605802,6.557928,8.600246
436,10.787782,10.420089,10.054086,9.988642,6.171283,5.5085783,10.849891,10.74119,6.3562813,4.9104466,5.848748,4.665324,6.5637975,8.602269
440,10.677067,10.198981,9.999379,9.963943,5.629777,3.9512436,10.798311,10.725013,5.864483,4.540098,6.020295,3.693867,6.4535003,8.607765
447,10.7872305,10.564546,10.399929,10.352217,6.157614,5.3849535,11.049392,11.026265,6.3969297,4.7282724,6.029242,5.4178767,6.7089195,8.62945
457,10.821349,10.550418,10.6028,10.634889,5.669536,4.6839814,11.36727,11.353837,6.11058,5.7160406,5.7592173,4.6081657,6.660649,8.645762
470,10.684149,10.283737,9.782748,9.824942,5.7061133,2.985682,10.591183,10.523628,6.0093045,3.854394,5.8771753,4.5528235,6.531096,8.66854
471,10.62769,10.303143,10.311623,10.2544365,5.589867,4.670958,11.007712,10.923399,6.5368366,5.6171346,5.8180037,2.821379,6.6070557,8.668712
484,10.699151,10.215173,10.156143,9.979689,6.165628,5.1699157,10.797815,10.583572,5.9218464,4.9148583,6.1416073,3.508556,6.4476156,8.699848
488,10.656005,10.146833,10.135392,10.061491,5.605802,3.777348,10.674852,10.561414,6.641704,5.8117394,6.42211,5.964864,6.4224315,8.71029
492,10.715779,9.989115,10.24057,10.21377,5.56337,4.074142,10.926724,10.829021,5.385412,3.7111301,6.525176,5.719328,6.204925,8.717355
499,10.274972,9.475462,9.323267,9.142489,5.5853744,4.6051702,9.593635,9.412113,6.073275,4.4761996,5.4480295,3.1398327,6.1321282,8.740817
500,10.425773,9.958648,10.089137,9.935369,6.2845073,5.7865906,10.816277,10.619562,5.676411,4.3307333,5.7271733,4.4391155,6.464501,8.743372
531,10.114923,9.564527,9.732539,9.661352,5.4044776,3.2308044,10.562584,10.492116,5.6997743,4.667206,6.262064,5.5675807,6.3812637,8.822911
532,10.751874,10.104696,10.400553,10.231503,5.5924783,4.2724905,10.9820175,10.890145,5.7500296,3.824284,5.807542,4.5347476,6.2844076,8.8257065
533,10.525662,10.113307,9.966809,9.854323,5.4967585,4.276666,10.587625,10.486284,5.904544,5.574812,6.1641564,5.5158453,6.519186,8.825853
539,10.514953,9.845255,9.893104,9.821377,5.662266,2.2407095,10.463517,10.3058815,6.6116376,5.4161005,6.71611,6.165628,6.261947,8.830251
541,10.655962,10.136771,10.196277,10.116937,5.9912143,3.9396381,10.904103,10.781123,6.1933846,4.7587495,5.832762,3.5438535,6.412385,8.837391
550,10.205376,9.972467,9.774523,9.697207,5.998688,4.091006,10.044306,9.925112,6.405063,3.754199,6.4895086,5.597681,6.6985574,8.847073
572,10.772802,10.562436,10.139381,10.086746,5.912151,5.5333896,10.954381,10.905561,5.4831357,3.910021,6.042395,-inf,6.7211328,8.885164
577,10.451516,10.08966,10.147982,10.078096,5.848171,4.59512,10.739915,10.58319,5.8490367,4.4613,6.223568,4.5716133,6.5697293,8.892061
581,10.5130415,10.179357,9.810061,9.633639,5.5166492,3.1696856,10.576207,10.463427,6.131444,5.1561775,6.366986,4.891852,6.5977736,8.895766
582,10.407385,9.43011,9.335598,9.119638,6.110358,5.126936,9.746026,9.556183,6.0371547,5.5831203,5.7785807,3.8286414,5.954342,8.897136
590,10.8729725,10.378351,10.295952,10.173526,5.7180142,5.587623,10.942757,10.8308525,5.6330023,4.2121277,6.2904572,5.108367,6.4369087,8.911934
593,10.477037,9.839956,8.735509,8.758805,5.580107,4.1383615,9.277989,9.14497,6.015181,3.2771447,5.9783792,4.1319613,6.294457,8.917043
598,10.497392,10.013019,10.134813,10.067764,5.5924783,3.437208,10.709115,10.557639,6.516637,6.1364303,5.9467287,5.435903,6.4472075,8.926916
599,10.658228,10.141023,8.849614,8.962738,5.888601,4.810557,8.853665,8.7157,6.2726884,5.561066,5.963322,5.0606947,6.414373,8.927845
605,10.229097,9.638662,9.745066,9.593928,5.4376445,3.5945687,10.434543,10.284223,6.293604,5.6913724,5.749393,5.0337005,6.341071,8.93208
606,10.606316,10.118199,10.111489,10.006932,5.9110675,5.506144,10.76988,10.650716,6.223171,4.6821313,6.6632605,5.690697,6.4434786,8.936035
612,9.857904,9.175014,9.08022,8.936916,6.0323668,4.827513,9.316878,9.097496,6.1580377,4.2442,6.7433524,5.5614505,6.248791,8.943114
615,10.298515,9.673779,9.6565895,9.575358,6.0595903,4.70592,10.441917,10.302911,6.1729527,4.744932,5.9501214,4.684905,6.3067336,8.945724
617,9.292583,5.2755604,9.112904,8.152112,5.8998976,4.752728,9.188238,8.146941,5.597681,-0.105360545,5.5093884,4.405499,2.914559,8.947546
619,9.159762,8.229244,8.101344,7.782015,5.958166,5.0337005,8.561172,8.222312,6.0485535,5.072044,4.9423566,3.7909846,6.0012484,8.950792
628,10.431672,10.099136,10.127479,10.048899,5.73754,4.3744984,10.820442,10.715482,6.4828014,2.791165,5.8230457,3.5115454,6.5990634,8.962392
634,10.774785,10.495299,9.840782,9.870034,5.4781356,1.5686159,10.3304205,10.2451105,6.8994207,6.003146,5.725218,4.4450016,6.651971,8.972464
638,10.412757,10.327961,9.933085,10.131937,6.014937,5.461711,10.749101,10.884938,5.7948413,4.1728477,5.7585864,3.4965076,6.846714,8.979669
